CODM;RAZAO_SOCIAL;CNPJ;NATUREZA;COD_IES;INSTITUICAO;SIGLA;TELEGONE;SITE;EMAIL;ENDERECO;CIDADE;UF;TIPO;TIPO2;CATEGOORIA;CATEGORIA2;DATA1;CT;ANO_CT;CT_EAD;ANO_EAD;IGC;ANO2;OBS;RLEGAL;OBS3;STIUACAO
407;CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE;33.621.384/0001-19;Privada sem fins lucrativos;1084;CENTRO UNIVERSITÁRIO CNEC DE BENTO GONÇALVES;-;(54)3452 4422;https://educacaosuperior.cnec.br/bentogoncalves;ceduc.es@cnec.br 2020.direcao@cnec.br;Rua Arlindo Franklin Barbosa - 460 - CEP: 95700-000 - São Roque;Bento Gonçalves;RS;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;10/03/1998;3;2018;-;;3;2023;;;;Ativa
325;INSTITUTO DE EDUCACAO UNICURITIBA LTDA;76.534.924/0001-30;Privada com fins lucrativos;1419;CENTRO UNIVERSITÁRIO CURITIBA (UNICURITIBA);UNICURITIBA;(41) 3213 8710;www.unicuritiba.edu.br;regulatorio@animaeducacao.com.br;Rua Chile - 1678 - CEP: 80220-181 - Rebouças;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;27/12/1951;5;2024;5;2016;4;2023;;;;Ativa
191;INSTITUICAO DOM BOSCO DE ENSINO E CULTURA LTDA;72.557.721/0001-08;Privada com fins lucrativos;2056;CENTRO UNIVERSITÁRIO DA ALTA PAULISTA (Unifadap);Unifadap;(14) 3404 3862;www.fadap.br;secretaria@fadap.brsecretariafap@fadap.brvicente@fadap.br;Rua Mandaguaris - 1010 - CEP: 17600-050 - Centro;Tupã;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;13/05/2002;4;2023;4;2022;3;2023;;;;Ativa
2447;INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA;05.933.016/0001-70;Privada com fins lucrativos;757;Centro Universitário da Amazônia (Unama);Unama;(81) 3413-4611;www.unama.br;emec@sereducacional.com;Rua Rosa Vermelha - 335 - CEP: 68010-200 - Aeroporto Velho;Santarém;PA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;24/12/1998;4;2023;4;2021;3;2023;;;;Ativa
3610;ESCOLA SUPERIOR DA AMAZONIA S/C LTDA - ESAMAZ;05.118.130/0001-47;Privada com fins lucrativos;2745;CENTRO UNIVERSITÁRIO DA AMAZÔNIA (UNIESAMAZ);UNIESAMAZ;(91) 3222-1317;www.esamaz.com.br;l.reinaldo@uol.com.br;Travessa São Pedro - 544 - CEP: 66023-570 - Batista Campos;Belém;PA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;12/08/2004;4;2021;4;2022;3;2023;;;;Ativa
2447;INSTITUTO CAMPINENSE DE ENSINO SUPERIOR LTDA;05.933.016/0001-70;Privada com fins lucrativos;13982;CENTRO UNIVERSITÁRIO DA AMAZÔNIA BELÉM (UNAMA);UNAMA;(81) 3413-4611;www.mauriciodenassau.edu.br;emec@sereducacional.com;Travessa Quintino Bocaiúva - 1808 - CEP: 66035-190 - Nazaré;Belém;PA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;16/05/2011;4;2021;5;2021;3;2023;;;Unificação de Mantidas;Ativa
51;FUNDACAO EDUCACIONAL DE BARRETOS;44.776.805/0001-05;Privada sem fins lucrativos;3641;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS (UNIFEB);UNIFEB;(17) 3321 6411;www.unifeb.edu.br;reitoria@feb.br;Avenida Professor Roberto Frade Monte - 389 - CEP: 14783-226 - Aeroporto;Barretos;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;17/06/1966;4;2023;-;;3;2023;;;;Ativa
353;FUNDACAO EDUCACIONAL GUAXUPE;20.773.214/0001-08;Privada sem fins lucrativos;3875;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ (UNIFEG);UNIFEG;(35) 3551 5267 Ramal 209 e 210;www.unifeg.edu.br;reitoria@unifeg.edu.br;Avenida Dona Floriana - 463 - CEP: 37830-124 - Centro;Guaxupé;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;22/05/1969;4;2023;4;2016;3;2023;;;;Ativa
166;FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS;61.023.156/0001-82;Privada sem fins lucrativos;1878;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS (FEI);FEI;(11) 4353 2903;www.fei.edu.br;fei@fei.org.br;Avenida Humberto Alencar Castelo Branco - 3972 - CEP: 09850-901 - Assunção;São Bernardo do Campo;SP;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;15/04/1946;4;2020;-;;4;2023;;;;Ativa
403;FUNDACAO HERMINIO OMETTO;44.701.688/0001-02;Privada sem fins lucrativos;1043;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO (FHO);FHO;(19) 3543 1400;www.fho.edu.br;susiane@fho.edu.br;Avenida Doutor Maximiliano Baruto - 500 - CEP: 13607-339 - Jardim Universitário;Araras;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;05/07/1973;5;2024;4;2013;3;2023;;;;Ativa
445;UNIGRAN EDUCACIONAL;03.361.110/0001-77;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;673;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS (UNIGRAN);UNIGRAN;(67) 3411 4141;www.unigran.br;webmaster@unigran.br;Rua Balbina de Matos - 2121 - CEP: 79824-900 - Jardim;Dourados;MS;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;22/10/1976;5;2024;4;2023;4;2023;;;;Ativa
1085;CEUDESP EDUCACIONAL LTDA;02.843.943/0001-01;Privada com fins lucrativos;1658;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA (UNIGRANDE);UNIGRANDE;(85) 3299-9900;www.unigrande.edu.br;dpcomunicacao@unigrande.edu.br;Avenida Lineu Machado - 419 - CEP: 60520-101 - Jóquei Clube;Fortaleza;CE;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;26/02/2001;5;2023;5;2023;4;2023;;;;Ativa
211;FUNDACAO ATTILA TABORDA;87.415.725/0001-29;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;296;Centro Universitário da Região da Campanha;-;(53) 3242 8244;http://www.urcamp.edu.br;reitor@urcamp.edu.bravaliacao@urcamp.edu.br;Avenida Tupy Silveira - 2099 - CEP: 96400-110 - Centro;Bagé;RS;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;31/03/1955;5;2018;5;2019;3;2023;;;Adesão ao PROIES;Ativa
862;SOCIEDADE EDUCACIONAL DAS AMERICAS S.A.;03.523.852/0001-51;Privada com fins lucrativos;1294;Centro Universitário das Américas (CAM);CAM;(11) 3469-7600 - Ramal 7694;http://www.vemprafam.com.br;regulacaomec@vemprafam.com.br;Rua Augusta - 1520 - CEP: 01305-100 - Consolação;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;14/04/1999;5;2016;4;2022;3;2023;;;;Ativa
943;SOCIEDADE EDUCACIONAL SANTA RITA S.A.;91.109.660/0001-60;Privada com fins lucrativos;1427;CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (FSG);FSG;(54) 2101 6000;www.fsg.edu.br;denis.chidem@fsg.edu.br;Rua Marechal Floriano - 1229 - CEP: 95020-371 - Pio X;Caxias do Sul;RS;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;17/12/1999;5;2023;5;2022;3;2023;;;;Ativa
155;CENTRO UNIVERSITARIO DAS FACULDADES ASSOCIADAS DE ENSINO-FAE;59.766.774/0001-70;Pessoa Jurídica de Direito Público - Municipal;217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE (UNIFAE);UNIFAE;(19) 36380240;www.fae.br;secretaria@fae.br;Largo Engenheiro Paulo de Almeida Sandeville - 15 - CEP: 13870-377 - JARDIM SANTO ANDRÉ;São João da Boa Vista;SP;Centro Universitário;Presencial - Superior;Publica;Especial;23/09/1961;-;;-;;4;2023;;;;Ativa
188;FUNDACAO EDUCACIONAL MIGUEL MOFARREJ;44.537.199/0001-67;Privada sem fins lucrativos;265;CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS (Unifio);Unifio;(14) 3302 6490;www.unifio.edu.br;luciane@unifio.edu.br;Rodovia BR-153, Km 338 + 420 m - s/n - CEP: 19909-100 - Água do Cateto;Ourinhos;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;19/05/1970;5;2024;4;2018;4;2023;;;;Ativa
262;FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.;63.063.689/0001-13;Privada com fins lucrativos;374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS (FMU);FMU;(11) 3292-1709;www.fmu.br;regulacao@fmu.br;Rua Afonso Braz - 889 - CEP: 04511-011 - Vila Indianópolis;São Paulo;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;11/07/1968;5;2019;5;2023;3;2023;;;Em Supervisão - Procedimento Saneador sem Medida Cautelar;Ativa
369;ASSOCIACAO DO ENSINO SUPERIOR DA VITORIA DE STO ANTAO;01.448.515/0001-11;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;3515;CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO (UNIVISA);UNIVISA;(81) 3523 1020;www.faintvisa.com.br;ubirajarajc@hotmail.com;Loteamento São Vicente Ferrer - 71 - CEP: 55610-900 - Cajá;Vitória de Santo Antão;PE;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;26/02/1971;4;2024;4;2021;3;2023;;;;Ativa
15990;FACULDADES ADAMANTINENSES INTEGRADAS;03.061.303/0001-02;Pessoa Jurídica de Direito Público - Municipal;1292;Centro Universitário de Adamantina (FAI);FAI;1835027010;www.fai.com.br;fai@fai.com.br;Rua Nove de Julho - 730/40 - CEP: 17800-000 - CENTRO;Adamantina;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Publica;Especial;19/03/1999;-;;-;;3;2023;;;;Ativa
89;ASSOCIACAO EDUCACIONAL DE ARARAS;44.699.494/0001-10;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;125;CENTRO UNIVERSITÁRIO DE ARARAS - (UNAR);UNAR;(19) 3321 8000;www.unar.edu.br;adriana.arantes@unar.edu.br unar@unar.edu.br;Avenida Ernani Lacerda de Oliveira - 100 - CEP: 13603-112 - Parque Santa Cândida;Araras;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;27/03/1974;5;2023;4;2019;3;2023;;;;Ativa
2776;UNIBALSAS EDUCACIONAL LTDA;07.344.774/0001-89;Privada com fins lucrativos;4399;CENTRO UNIVERSITÁRIO DE BALSAS (UNIBALSAS);UNIBALSAS;(99)3542-5500;www.unibalsas.edu.br;dir.geral@unibalsas.edu.br;Br 230 Km 5 - s/n - CEP: 65800-000 - Fazenda Malidere 4;Balsas;MA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;25/10/2006;4;2023;4;2018;5;2023;;;;Ativa
355;SOBEU - ASSOCIACAO BARRAMANSENSE DE ENSINO;28.674.489/0001-04;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;514;CENTRO UNIVERSITÁRIO DE BARRA MANSA (UBM);UBM;(24) 3325 0222 (24) 3325 0280;www.ubm.br;reitor@ubm.br;Rua Vereador Pinho de Carvalho - 267 - CEP: 27330-550 - Centro;Barra Mansa;RJ;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;25/07/1966;4;2017;5;2019;3;2023;;;;Ativa
700;INSTITUICAO TOLEDO DE ENSINO;45.024.551/0001-23;Privada sem fins lucrativos;997;Centro Universitário de Bauru;-;(14) 2107 5051;www.ite.edu.br;roberval@ite.edu.br;Praça Nove de Julho - 1-51 - CEP: 17050-790 - Vila Pacífico;Bauru;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;12/07/1952;4;2017;5;2021;4;2023;;;;Ativa
14298;IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A;08.446.503/0001-05;Privada com fins lucrativos;349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE (UNI-BH);UNI-BH;(31) 3319-9219 / (31) 3319-9220;www.unibh.br;regulatorio@animaeducacao.com.brreitoria@unibh.br;Avenida Prof. Mário Werneck - 1685 - CEP: 30455-610 - Estoril;Belo Horizonte;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;28/08/1968;5;2024;4;2017;3;2023;;;;Ativa
277;CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB;00.059.857/0001-87;Privada sem fins lucrativos;402;CENTRO UNIVERSITÁRIO DE BRASÍLIA (UNICEUB);UNICEUB;(61) 39661248;www.uniceub.br;regulacao@uniceub.br;Eqn 707 907 Conjunto C - S/N - CEP: 70790-075 - Asa Norte;Brasília;DF;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;26/04/1968;5;2024;5;2019;4;2023;;;;Ativa
70;FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE;83.128.769/0001-17;Fundação Pública de Direito Privado Municipal;87;CENTRO UNIVERSITÁRIO DE BRUSQUE (UNIFEBE);UNIFEBE;32117000;www.unifebe.edu.br;reitoria@unifebe.edu.br;Rua Vendelino Mafezzolli - 333 - CEP: 88352-360 - Santa Terezinha;Brusque;SC;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;29/08/2003;5;2023;4;2016;4;2023;;;;Ativa
384;FUNDACAO EDUCACIONAL DE CARATINGA FUNEC;19.325.547/0001-95;Privada sem fins lucrativos;3966;CENTRO UNIVERSITÁRIO DE CARATINGA (UNEC);UNEC;(33) 3322 7900 Ramal 7902;www.unec.edu.br;sra@funec.br;Av. Moacyr de Mattos - 87 - CEP: 35300-047 - Centro;Caratinga;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;22/05/1968;3;2024;3;2022;3;2023;;;;Ativa
1359;CENTRO DE ESTUDOS SUPERIORES DE SANTO ANTONIO DE JESUS S/C - EPP;04.696.652/0001-63;Privada com fins lucrativos;2067;Centro Universitário de Ciências e Empreendedorismo (UNIFACEMP);UNIFACEMP;(75) 3631 3180;www.facemp.edu.br;lhlmartini@uol.com.br;Praça Doutor Renato Machado - 10C - CEP: 44430-104 - Centro;Santo Antônio de Jesus;BA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;23/05/2003;4;2021;4;2018;3;2023;;;;Ativa
3169;GRUPO EDUCA LTDA;08.074.032/0001-43;Privada com fins lucrativos;4964;Centro Universitário de Ciências e Tecnologia do Maranhão (UniFacema);UniFacema;9934226800;www.facema.edu.br;reitoria@unifacema.edu.br;RUA AARÃO REIS - 1000 - CEP: 65606-020 - CENTRO;Caxias;MA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;23/12/2008;5;2023;4;2020;3;2023;;;;Ativa
17143;UNIDESC LTDA;30.112.733/0001-89;Privada com fins lucrativos;826;CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE (UNIDESC);UNIDESC;(61) 38783100;http://www.unidesc.edu.br/;angelica@icesp.edu.brelaine.fagundes@icesp.edu.br;Rodovia BR-040, KM 16 - s/n - CEP: 72852-580 - Jardim Flamboyant;Luziânia;GO;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;13/03/1990;3;2017;-;;3;2023;;;;Ativa
1249;INSTITUTO DE ENSINO SUPERIOR ANCHIETA;81.908.386/0001-36;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1900;Centro Universitário de Ensino, Ciência e Tecnologia do Paraná (UniEnsino);UniEnsino;(41) 98404-7693;www.faculdadeanchieta.edu.br;uniensino@querouniensino.com.br anchieta@faculdadeanchieta.edu.br;Rua Tenente Tito Teixeira de Castro - 1222 - CEP: 81670-430 - Boqueirão;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;14/12/2001;5;2024;4;2024;3;2023;;;;Ativa
18648;WD EDUCACIONAL LTDA;10.577.342/0001-22;Privada com fins lucrativos;668;CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS (CIESA);CIESA;92 4003-5422;www.ciesa.br;reitoria@ciesa.br secretaria@ciesa.br secretaria.pos@ciesa.br vivianfer@gmail.com;Avenida Joaquim Nabuco - 1270 - CEP: 69020-030 - Centro;Manaus;AM;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;31/03/1986;4;2023;4;2023;3;2023;;;;Ativa
3561;H. M. SIMOES CARNEIRO - ME;10.187.537/0001-66;Privada com fins lucrativos;1931;Centro Universitário de Ensino Superior Franciscano (UNIESF);UNIESF;(98) 3274 32 04;www.iesfma.com.br;tiagocarneiro@iesfma.com.br;Avenida 14, Quadra 02, Lotes n º 17, 18, 39 e 40 - - CEP: 65130-000 - Recanto Maiobão;Paço do Lumiar;MA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;14/11/2001;4;2023;4;2021;3;2023;;;;Ativa
1564;INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME;04.670.333/0001-89;Privada com fins lucrativos;1053;Centro Universitário de Excelência (UNEX);UNEX;8 000 566 666;https://www.uniftc.edu.br;lsoares@ftc.edu.brihanmarck@ftc.edu.brmarcly.fsa@ftc.edu.bravalia@ftc.edu.br;Avenida Artêmia Pires de Freitas - S/N - CEP: 44085-370 - SIM;Feira de Santana;BA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;22/12/1997;4;2024;5;2018;4;2023;;;Adesão ao PROIES;Ativa
1564;INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME;04.670.333/0001-89;Privada com fins lucrativos;1364;Centro Universitário de Excelência de Vitória da Conquista (UNEX Conquista);UNEX Conquista;8 000 566 666;www.ftc.br;lsoares@ftc.edu.brrcabral@ftc.edu.br;Rua Ubaldino Figuera - 200 - CEP: 45020-510 - Exposição;Vitória da Conquista;BA;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;06/09/1999;4;2024;-;;3;2023;;;Adesão ao PROIES;Ativa
1243;EDVAC SERVICOS EDUCACIONAIS LTDA;04.167.858/0001-04;Privada com fins lucrativos;1892;Centro Universitário de Excelência Eniac (ENIAC);ENIAC;(11) 984285596;www.eniac.com.br;regulacao@eniac.edu.br;Rua Força Pública - 89 - CEP: 07012-030 - Centro;Guarulhos;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;10/12/2001;5;2025;5;2019;3;2023;;;;Ativa
215;FUNDACAO EDUCACIONAL DE FORMIGA-MG - FUOM;20.501.128/0001-46;Privada sem fins lucrativos;3983;CENTRO UNIVERSITÁRIO DE FORMIGA (UNIFORMG);UNIFORMG;(37) 3329 1400 / (37)3329-1455;www.uniformg.edu.br;uniformg@uniformg.edu.br;Avenida Doutor Arnaldo de Senna - 328 - CEP: 35574-530 - Palmeiras;Formiga;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;05/08/2004;5;2024;5;2019;3;2023;;;;Ativa
519;ASSOBES ENSINO SUPERIOR LTDA.;01.711.282/0001-06;Privada com fins lucrativos;763;CENTRO UNIVERSITÁRIO DE GOIÂNIA (UNICEUG);UNICEUG;(11) 5586 4240;https://www.uniceug.com.br/;pigeral@unip.brpigeral2020@gmail.com;Avenida T-2 - 1993 - CEP: 74215-010 - Setor Bueno;Goiânia;GO;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;20/07/1987;5;2024;-;;3;2023;;;;Ativa
269;SOCIEDADE ANHANGUERA DE ENSINO LTDA;01.088.830/0001-85;Privada com fins lucrativos;386;CENTRO UNIVERSITÁRIO DE GOIÁS (UNIGOIÁS);UNIGOIÁS;(62) 32461435;www.unigoias.com.br;pedagogica@unigoias.com.br;Avenida João Cândido de Oliveira - 115 - CEP: 74423-115 - Cidade Jardim;Goiânia;GO;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;12/02/1973;4;2019;4;2023;3;2023;;;;Ativa
568;FUNDACAO DE ENSINO SUPERIOR DE GOIATUBA;01.494.665/0001-61;Pessoa Jurídica de Direito Público - Municipal;824;CENTRO UNIVERSITÁRIO DE GOIATUBA (UNICERRADO);UNICERRADO;(64) 3495 8117;www.unicerrado.edu.br;reitoria@unicerrado.edu.br;Rod Go 320 - s/n - CEP: 75600-000 - Jardim Santa Paula;Goiatuba;GO;Centro Universitário;Presencial - Superior;Publica;Especial;27/09/1988;-;;-;;3;2023;;;;Ativa
1820;CENTRO DE ENSINO SUPERIOR DE IPORA LTDA - EPP;05.137.878/0001-97;Privada com fins lucrativos;2796;Centro Universitário de Iporá (Uniporá);Uniporá;(64) 3674-5181;www.unipora.edu.br;fonseca@unipora.edu.br;Rua Serra Cana Brava - Quadra 02 - Lote 04 - 512 - CEP: 76200-000 - Jardim Novo Horizonte II;Iporá;GO;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;09/09/2004;4;2022;-;;2;2023;;;;Ativa
40;FUNDACAO DE ENSINO E PESQUISA DE ITAJUBA;21.041.264/0001-63;Privada sem fins lucrativos;1869;CENTRO UNIVERSITÁRIO DE ITAJUBÁ (FEPI);FEPI;(35)36298400;www.fepi.br;reitoria@fepi.brmadisson@fepi.brerwinmadisson@gmail.com;Avenida Dr. Antonio Braga Filho - 687 - CEP: 37501-002 - Varginha;Itajubá;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;16/03/2001;5;2018;4;2022;4;2023;;;;Ativa
948;CESC ENSINO SUPERIOR DE CAMPINAS LTDA.;59.018.614/0001-43;Privada com fins lucrativos;1434;Centro Universitário de Itapira Uniesi (UNIESI);UNIESI;(11) 5586 4240;https://www.uniesi.edu.br/;pigeral@unip.brpigeral2020@gmail.com;Rodovia SP 147, KM 40,7 - 1381 - CEP: 13974-632 - Bairro dos Prados;Itapira;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;29/12/1999;4;2023;-;;3;2023;;;;Ativa
982;INSTITUTO EDUCACIONAL JAGUARY LTDA;03.211.847/0001-03;Privada com fins lucrativos;1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA (UniFAJ);UniFAJ;(19) 38378500;www.faj.br;academico.anaclaudia@unieduk.com.br;Rua Amazonas - 504 - CEP: 13820-000 - Jardim Dom Bosco;Jaguariúna;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;05/05/2000;5;2023;5;2022;3;2023;;;;Ativa
291;ASSOCIACAO EDUCACIONAL DE JALES;50.575.976/0001-60;Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública;1224;CENTRO UNIVERSITÁRIO DE JALES (UNIJALES);UNIJALES;(17) 3622 1620;www.unijales.edu.br;rosinei@unijales.edu.br;Avenida Francisco Jales - 1851 - CEP: 15703-200 - Loteamento Avenida;Jales;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;30/03/1970;4;2019;5;2018;3;2023;;;Em supervisão - Procedimento Sancionador;Ativa
245;IPE EDUCACIONAL LTDA;08.679.557/0001-02;Privada com fins lucrativos;352;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ);UNIPÊ;(83) 2106 9202;www.unipe.edu.br;proac@unipe.edu.br mariana.brito@unipe.edu.br;Rodovia BR-230 - 1957 - CEP: 58053-002 - Água Fria;João Pessoa;PB;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada com fins lucrativos;03/08/1973;5;2018;5;2019;3;2023;;;;Ativa
2129;FUNDACAO EDUCACIONAL DE LAVRAS;22.075.444/0001-29;Privada sem fins lucrativos;3372;CENTRO UNIVERSITÁRIO DE LAVRAS (UNILAVRAS);UNILAVRAS;(35)36948136 e/ou (35)36948134;www.unilavras.edu.br;reitoria@unilavras.edu.brchristiane@unilavras.edu.brproen@unilavras.edu.br;Rua Padre José Poggel - 506 - CEP: 37203-593 - Padre Dehon;Lavras;MG;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;04/01/1966;5;2024;5;2022;4;2023;;;;Ativa
232;FUNDACAO PAULISTA DE TECNOLOGIA E EDUCACAO;51.665.727/0001-29;Privada sem fins lucrativos;1846;CENTRO UNIVERSITÁRIO DE LINS (UNILINS);UNILINS;(14) 3533 3200;www.unilins.edu.br;secretaria@unilins.edu.br;Avenida Nicolau Zarvos - 1925 - CEP: 16401-371 - Jardim Aeroporto;Lins;SP;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;Privada sem fins lucrativos;07/05/2001;4;2023;4;2022;3;2023;;;;Ativa
759;SOCIEDADE EDUCACIONAL E CULTURAL SERGIPE DEL REY LTDA;32.728.800/0001-10;Privada com fins lucrativos;4530;CENTRO UNIVERSITÁRIO DE MACEIÓ (UNIMA);UNIMA;(82)3142-0517;www.unima.afya.com.br;rita.regis@unima.edu.brcristiano.montenegro@unima.edu.br;Avenida Gustavo Paiva - 5.017 - CEP: 57031-530 - Cruz das Almas;Maceió;AL;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;02/05/2006;5;2019;-;;4;2023;;;;Ativa
16134;UNIESP S.A;19.347.410/0001-31;Privada com fins lucrativos;1804;Centro Universitário de Mauá (UNI-FAMA);UNI-FAMA;(11) 4512-6116;www.facmaua.edu.br;paulo.ansaldi@uniesp.edu.brlegis.educ@uniesp.edu.br;Rua Vitorino Dell'Antônia - 349 - CEP: 09370-570 - Vila Noemia;Mauá;SP;Centro Universitário;Presencial - Superior;Privada;Privada com fins lucrativos;07/08/2001;4;2023;-;;3;2023;;;;Ativa
565;FUNDACAO INTEGRADA MUNICIPAL DE ENSINO SUPERIOR;01.465.988/0001-27;Pessoa Jurídica de Direito Público - Municipal;4396;CENTRO UNIVERSITÁRIO DE MINEIROS (UNIFIMES);UNIFIMES;(64) 36725100;www.unifimes.edu.br;unifimes@unifimes.edu.br;Rua 22 - S/N - CEP: 75830-000 - Setor Aeroporto;Mineiros;GO;Centro Universitário;EAD - Superior / Presencial - Superior /;Publica;Pública Municipal;11/03/1985;-;;-;;3;2023;;;;Ativa
