NOME-INSTITUICAO-EMPRESA,QUANTIDADE
THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,2
BIOMEHUB,2
ADVOCACIA GERAL DA UNIAO - PROCURADORIA GERAL FEDERAL,2
HOSPITAL DA FORCA AEREA DO GALEAO,2
OUTROS,2
FACULDADE DOM LUCIANO MENDES,2
HOSPITAL DA LAGOA/RJ,2
FACULDADE DR FRANCISCO MAEDA,2
UNIVERSIDAD NACIONAL DE ASUNCION,2
FACULDADE SANTA LUCIA,2
HOSPITAL CENTRAL DO EXERCITO,2
UNIVERSIDADE FEDERAL DO SEMI-ARIDO,2
LIBERAL,2
UNIVERSIDADE FEDERAL DO PARA - CAMPUS CASTANHAL,2
UNIVERSIDADE MACKENZIE,2
INSTITUTO DE PESQUISAS E ENSAIOS EM VOO,2
UNIVERSIDADE EDUARDO MODLANE,2
INSTITUTO FEDERAL DO ESPIRITO SANTO - CAMPUS ALEGRE,2
SESC - ADMINISTRACAO REGIONAL DO RIO GRANDE DO SUL,2
SOCIOAMBIENTAL CONSULTORES ASSOCIADOS,2
SECRETARIA DO ESTADO DE EDUCACAO DO DISTRITO FEDERAL,2
ASSESSORIA E SERVICOS A PROJETOS EM AGRICULTURA ALTERNATIVA,2
PREFEITURA MUNICIPAL DE SANTA CRUZ DO SUL,2
BTG PACTUAL,2
BRASKEM S A,2
ESCOLA DE ADMINISTRACAO DA UFBA,2
CONSORCIO INTERMUNICIPAL DE SAUDE COSTA OESTE DO PARANA,2
WETLANDS INTERNATIONAL,2
MINISTERIO DA SAUDE DE MOCAMBIQUE,2
UNIVERSIDAD CATOLICA DE SANTA FE,2
UNIVERSIDAD NACIONAL DE TRUJILLO,2
LABORATORIO DE IMUNOLOGIA E BIOLOGIA MOLECULAR,2
HOSPITAL DE OLHOS DO PARANA,2
HOSPITAL DA CLINICAS DA FACULDADE DE MEDICINA DA UNIVERSIDADE DE SAO PAULO,2
INSTITUTO DE PLANEJAMENTO URBANO DE FLORIANOPOLIS,2
TRIBUNAL DE CONTAS DO ESTADO DO CEARA,2
TRIBUNAL DE CONTAS DO ESTADO DA PARAIBA,2
UNIVERSIDAD DE SALAMANCA,2
ESCRITORIO PARTICULAR,2
ASSEMBLEIA LEGISLATIVA DE GOIAS,2
UNIVERSIDADE FEDERAL DO ACRE - CAMPUS FLORESTA,2
INSTITUTO DE ESTUDOS DA RELIGIAO,2
"INSTITUTO FEDERAL DE EDUCACAO, C & T - CAMPUS PARAGOMINAS",2
ESCOLA DE SAUDE PUBLICA DA PARAIBA,2
GUANGXI NORMAL UNIVERSITY,2
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,2
AGENCIA REGULADORA INTERMUNICIPAL DE SANEAMENTO,2
UNIVERSIDADE FEDERAL DE PERNAMBUCO - CENTRO ACADEMICO DO AGRESTE,2
PONTIFICIA UNIVERSIDADE CATOLICA DO RS,2
EOTVOS LORAND TUDOMANYEGYETEM,2
AGENCIA NACIONAL DE AGUAS E SANEAMENTO BASICO,2
SECRETARIA MUNICIPAL DE EDUCACAO E ESPORTE,2
SECRETARIA DA SAUDE PUBLICA DO RIO GRANDE DO NORTE,2
CORPO DE BOMBEIROS MILITAR DO ESTADO DE GOIAS,2
ROSS UNIVERSITY,2
"FUNDACAO OSWALDO CRUZ, INSTITUTO AGGEU MAGALHAES",2
INSTITUTO AGGEU MAGALHAES - FIOCRUZ/PE,2
SAO PAULO UNIVERSITY,2
BIOGENESIS BAGO SAUDE ANIMAL,2
INSTITUTO SENAI DE INOVACAO SOLUCOES INTEGRADAS EM METALMECANICA,2
PREFEITURA MUNICIPAL DE CUBATAO,2
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA FARROUPILHA,2
FACULDADE DE ENSINO SUPERIOR E FORMACAO INTEGRAL,2
SENCKENBERG RESEARCH INSTITUTE,2
PREFEITURA MUNICIPAL DE CICERO DANTAS,2
FACULDADE PRESBITERIANA GAMMON,2
BUCKNELL UNIVERSITY,2
HERIOT-WATT UNIVERSITY,2
INSTITUTO FEDERAL DO PARANA - CAMPUS CAPANEMA,2
COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO,2
FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,2
FACULDADE MUNICIPAL DE EDUCACAO E MEIO AMBIENTE,2
INSTITUTO DE CIENCIAS FARMACEUTICAS,2
VIRGINIA COMMONWEALTH UNIVERSITY,2
HELIX SEMENTES,2
INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTIFICAS,2
ESCOLA DE ENFERMAGEM DE RIBEIRAO PRETO - UNIVERSIDADE DE SAO PAULO,2
IBM BRASIL,2
CLINICA SANTO ANTONIO,2
CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS,2
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTORIO CARDASSI,2
DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA,2
SECRETARIA DE ESTADO DE SAUDE DO PARANA,2
COLEGIO MILITAR DE SALVADOR,2
SENAI - DEPARTAMENTO REGIONAL DE MINAS GERAIS,2
"UNIVERSITY OF CALIFORNIA, MERCED",2
ENSIN-E,2
UNIVERSITY OF STIRLING,2
UNIVERSITY OF COLOGNE,2
INSTITUTO DR JOSE FROTA,2
WEG - MATRIZ,2
FACULDADE ENGENHEIRO SALVADOR ARENA,2
INSTITUTO DE MEDICINA TROPICAL- USP,2
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH,2
FACULDADE UNIESSA,2
PROCURADORIA-GERAL DO ESTADO DO RIO DE JANEIRO,2
HOSPITAL DE CLINICAS DA UNIVERSIDADE FEDERAL DE UBERLANDIA,2
PREFEITURA MUNICIPAL DE ALTAMIRA,2
"UNIVERSIDADE DE SAO PAULO, INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO",2
CLARKSON UNIVERSITY,2
CEEDUC,2
CAMARA MUNICIPAL DE PORTO ALEGRE,2
TRIBUNAL REGIONAL DO TRABALHO DA 10 REGIAO,2
INSTITUTO TECNICO-CIENTIFICO DE PERICIA DO ESTADO DO RIO GRANDE DO NORTE,2
IMUNOTERA SOLUCOES TERAPEUTICAS,2
CENTRO UNIVERSITARIO CATOLICA DO LESTE DE MINAS GERAIS,2
SECRETARIA DE ESTADO DE SAUDE DO DF,2
UNIVERSIDAD DE CHILE,2
INSTITUTO FEDERAL CATARINENSE - CAMPUS VIDEIRA,2
INSTITUTO DE QUIMICA - UNESP - ARARAQUARA,2
AKZONOBEL,2
ESCOLA ESTADUAL GETULIO VARGAS,2
UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO - UNESP,2
KARLSRUHE INSTITUTE OF TECHNOLOGY,2
MINISTERIO PUBLICO DO ESTADO DE GOIAS,2
CENTRO ESTADUAL DE VIGILANCIA EM SAUDE,2
PREFEITURA MUNICIPAL DE PORTO VELHO,2
CONSIGLIO NAZIONALE DELLE RICERCHE,2
PREFEITURA MUNICIPAL DE VICOSA,2
IF GOIANO CAMPUS URUTAI,2
INSTITUTO DE ENSINO E PESQUISA - HOSPITAL DO CORACAO,2
CENTRO UNIVERSITARIO SENAI/SC,2
MIDDLESEX UNIVERSITY LONDON,2
CHRISTIAN-ALBRECHTS-UNIVERSITAT ZU KIEL,2
INSTITUTO NACIONAL DE TECNOLOGIA EM UNIAO E REVESTIMENTO DE MATERIAIS,2
HOSPITAL VISAO LASER,2
BIORIGIN,2
PREFEITURA MUNICIPAL DE SUMARE,2
SERVICO NACIONAL DE APRENDIZAGEM RURAL - AR/PR,2
DEPARTAMENTO DE PSIQUIATRIA,2
FACULDADE ESTACIO DE SAO LUIS,2
"FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE RIBEIRAO PRETO USP",2
INSTITUTO FEDERAL GOIANO CAMPUS CRISTALINA,2
SECRETARIA ESTADUAL DE EDUCACAO DE ALAGOAS,2
PREFEITURA MUNICIPAL DE CASSILANDIA,2
TENNECO AUTOMOTIVE,2
POLICIA MILITAR DO MARANHAO,2
DEFENSORIA PUBLICA GERAL DO ESTADO DO CEARA,2
PREFEITURA MUNICIPAL DE BIRIGUI,2
UFC,2
MUSEU DE ARQUEOLOGIA E ETNOLOGIA DA UNIVERSIDADE DE SAO PAULO,2
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,2
CGG DO BRASIL,2
INSTITUTO DE GEOCIENCIAS - UNIV. DE SAO PAULO,2
INSTITUTO DE PESQUISA DA CAPACITACAO FISICA DO EXERCITO,2
FUNDACAO OSWALDO CRUZ - MINAS GERAIS,2
MONTANA STATE UNIVERSITY,2
INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA - URUGUAY,2
HOUSTON METHODIST RESEARCH INSTITUTE,2
FACULDADE INTERNACIONAL DE CURITIBA,2
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MATO GROSSO DO SUL",2
SECRETARIA DE ESTADO DE EDUCACAO E QUALIDADE DE ENSINO,2
ESCOLA SUPERIOR DE DESENHO INDUSTRIAL,2
PREFEITURA MUNICIPAL DE MASSARANDUBA,2
HOSPITAL CORREIA PICANCO,2
BARROS CARVALHO ADVOGADOS ASSOCIADOS,2
INSTITUTO DO CORACAO DO HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA U,2
"FACULDADE DE FILOSOFIA, LETRAS E CIENCIAS HUMANAS DA USP",2
INSTITUTO DO CORACAO DO HOSPITAL DAS CLINICAS FMUSP,2
FUNDACAO UNIVERSIDADE ESTADUAL DO CEARA,2
PREFEITURA DO MUNICIPIO DE PORTO VELHO,2
INSTITUTO FEDERAL DO ACRE ? IFAC SENA MADUREIRA,2
SANTA CASA DE CARIDADE DE DIAMANTINA,2
UNIVERSITY OF WARSAW,2
FACULDADE CENTRO MATO-GROSSENSE,2
CAL GARCIA ADVOGADOS ASSOCIADOS,2
PREFEITURA MUNICIPAL DE LINS,2
FACULDADE DE CIENCIAS E TECNOLOGIA DE UNAI,2
FACULDADE CAMPO LIMPO PAULISTA,2
UNESP - UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO,2
SECRETARIA MUNICIPAL DE EDUCACAO DE MARACANAU,2
SECRETARIA DE EDUCACAO E QUALIDADE DO ENSINO,2
CHILD MIND INSTITUTE,2
FUNDACAO UNIVERSISTAS DE ESTUDOS AMAZONICOS,2
INSTITUTO SENAI DE INOVACAO EM SOLUCOES INTEGRADAS EM METALMECANICA,2
CENTRO UNIVERSITARIO PLINIO LEITE,2
PROCERGS - CIA DE PROCESSAMENTO DE DADOS DO ESTADO DO RIO GRANDE DO SUL,2
ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUACU PAULISTA,2
GMR SOCIEDADE DE ADVOGADOS,2
HOSPITAL UNIVERSITARIO GAFFREE E GUINLE/EBSERH,2
SAN DIEGO STATE UNIVERSITY,2
CAMARA MUNICIPAL DE FORTALEZA,2
CAMPUS PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,2
INSTITUTO FEDERAL DE MINAS GERAIS - CAMPUS OURO PRETO,2
UNIVERSITY AT ALBANY,2
ACADEMIA DE POLICIA MILITAR DO RIO GRANDE DO SUL,2
CENTRO DE ENSINO SUPERIOR,2
UNIVERSITY OF ROEHAMPTON,2
KEELE UNIVERSITY,2
ITAIPU PARQUETEC,2
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS ARACUAI,2
AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO,2
INSTITUTO SENAI DE INOVACAO BIOMASSA,2
SECRETARIA DA FAZENDA DO ESTADO DO RIO GRANDE DO SUL,2
EINDHOVEN UNIVERSITY OF TECHNOLOGY,2
MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO DO SUL,2
UNIVERSITE DE BOURGOGNE,2
PREFEITURA MUNICIPAL DE PONTE NOVA,2
UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS DE GOVERNADOR VALADARES,2
CONSELHO NACIONAL DO MINISTERIO PUBLICO,2
COLEGIO ESTADUAL GOVERNADOR LUIZ VIANA FILHO,2
UNIVERSIDADE FEDERAL DE GOIAS REGIONAL CATALAO,2
ESCOLA SESC DE ENSINO MEDIO,2
INSTITUTO DE ASTRONOMIA - UNAM,2
INSTITUTO FEDERAL DO CEARA CAMPUS CANINDE,2
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIAS E TECNOLOGIA DA PARAIBA",2
AGROQUATRO-S EXPERIMENTACAO E CONSULTORIA AGRONOMICA APLICADA,2
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA,2
MINISTERIO DOS TRANSPORTES - DF,2
DEPARTAMENTO DE OCEANOGRAFIA E HIDROLOGIA,2
FACULDADE UNIAO ARARUAMA DE ENSINO,2
UNIVERSIDADE GUARULHOS,2
CENTRO DE EDUCACAO PROFISSIONAL - ESCOLA DE MUSICA DE BRASILIA,2
ESCOLA DE EDUCACAO BASICA EDUCAR-SE,2
UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,2
FACULDADE DE ODONTOLOGIA DE PERNAMBUCO UNIVERSIDADE DE PERNAMBUCO,2
UNIVERSITY OF MACAU,2
"ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ, UNIVERSIDADE DE SAO PAULO",2
SOFTPLAN PLANEJAMENTO E SISTEMAS,2
INSTITUTO FEDERAL DO PARANA - CAMPUS JAGUARIAIVA,2
KINGS COLLEGE LONDON,2
INSTITUTO FEDERAL GOIANO - CAMPUS URUTAI (GO),2
CENTRO UNIVERSITARIO EUROAMERICANO,2
HARVEN AGRIBUSINESS SCHOOL,2
CAMPUS BAIXADA SANTISTA,2
UNIVERSIDADE FEDERAL DE ITAJUBA - CAMPUS ITABIRA,2
TRIBUNAL REGIONAL DO TRABALHO DA 22 REGIAO,2
UNIVERSITY OF OREGON,2
INSTITUTO DE MATEMATICA E ESTATISTICA,2
INSTITUTO DE MEDICINA INTEGRAL DE PERNAMBUCO,2
SECRETARIA DE ESTADO DA EDUCACAO DE SAO PAULO,2
UNIVERSIDADE FEDERAL DE VICOSA CAMPUS FLORESTAL,2
PORTO DIGITAL,2
INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS BELO JARDIM,2
FACULDADE DE ENFERMAGEM,2
SISTEMA DE TECNOLOGIA E MONITORAMENTO AMBIENTAL DO PARANA - SIMEPAR,2
UNIVERSIDAD PRIVADA DEL NORTE,2
INSTITUTO DE CIENCIAS BIOMEDICAS- USP,2
SESI - DEPARTAMENTO REGIONAL DO ESTADO DE SANTA CATARINA,2
MUSEU HISTORICO NACIONAL,2
FACULDADE MARIA MILZA,2
UNIVERSITE DE STRASBOURG,2
CAMPUS FLORESTAL,2
FACULDADE DE MIGUEL PEREIRA,2
UNIVERSITY OF TEXAS AT EL PASO,2
EMEIEF AYRTON SENNA DA SILVA,2
FUNDACAO OSWALDO CRUZ (CE),2
SECRETARIA DE EDUCACAO DO ESTADO,2
ESCOLA DE EDUCACAO BASICA SAO LUDGERO,2
CRODA DO BRASIL,2
ASSOCIACAO DE ENSINO DE RIBEIRAO PRETO,2
INSTITUTO JO CLEMENTE,2
UNIVERSITY OF LOUISVILLE,2
CENTRO UNIVERSITARIO REDENTOR,2
HUMANITAS - FACULDADE DE CIENCIAS MEDICAS DE SAO JOSE DOS CAMPOS,2
INSTITUTO DE PSICOLOGIA,2
INSTITUTO FEDERAL DO MARANHAO - CAMPUS SAO JOAO DOS PATOS,2
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO - CAMPUS DE ALEGRE,2
INSTITUTO DE PESQUISAS VETERINARIAS DESIDERIO FINAMOR,2
"INSTITUTO CESUMAR DE CIENCIA, TECNOLOGIA E INOVACAO",2
SECRETARIA DE ESTADO DA EDUCACAO DO ESTADO DE SAO PAULO,2
INSTITUTO ALBERTO LUIZ COIMBRA DE POS-GRADUACAO E PESQUISA EM ENGENHARIA,2
HOSPITAL DAS CLINICAS FACULDADE DE MEDICINA DA USP,2
UNIVERSITA DEGLI STUDI DI FERRARA,2
FACULDADE DA SAUDE E ECOLOGIA HUMANA,2
INSTITUTO DE BIOLOGIA - UNICAMP,2
KAISER CLINICA,2
SAKATA SEED SUDAMERICA,2
ALLERGISA PESQUISA DERMATO-COSMETICA,2
STONY BROOK UNIVERSITY,2
NUCLEO DE BIOTECNOLOGIA,2
"FACULDADE DE ECONOMIA, ADMINISTRACAO E CONTABILIDADE DA USP",2
PREFEITURA MUNICIPAL DE ITAUNA,2
INSTITUTO FEDERAL CATARINESE,2
CENTRO DE ESTUDOS DA METROPOLE,2
UNIVERSITY OF ILLINOIS - SYSTEM,2
FACULDADE DE ENFERMAGEM DA UERJ,2
MINISTERIO DA DEFESA EXERCITO BRASILEIRO,2
ALMA MATER STUDIORUM UNIVERSITA DI BOLOGNA,2
UNIVERSITY OF CALIFORNIA - BERKELEY,2
CENTRO UNIVERSITARIO CATHEDRAL,2
FACULDADE DE TECNOLOGIA DE ITAQUAQUECETUBA,2
FACULDADE DE ODONTOLOGIA DE BAURU UNIVERSIDADE DE SAO PAULO,2
UGV CENTRO UNIVERSITARIO,2
TRIBUNAL REGIONAL DO TRABALHO DA 21 REGIAO,2
HOSPITAL ZONA SUL DE LONDRINA,2
FACULDADES  FACCAT,2
UNIVERSIDADE LIVRE DO MEIO AMBIENTE,2
DEPARTAMENTO DE FISICA,2
THE OHIO STATE UNIVERSITY.,2
UNIVERSIDAD NACIONAL DE SAN AGUSTIN,2
FUNDACAO NORTE RIOGRANDENSE DE PESQUISA E CULTURA,2
FUNDACAO PRO SANGUE HEMOCENTRO DE SAO PAULO,2
NUCLEO DE EDUCACAO EM SAUDE COLETIVA,2
SECRETARIA MUNICIPAL DE SAUDE DE MONTES CLAROS,2
INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS - CAMPUS SALINAS,2
MATERNIDADE CLIMERIO DE OLIVEIRA/EBSERH,2
SECRETARIA MUNICIPAL DE EDUCACAO DE ITAJAI,2
ECOLE NORMALE SUPERIEURE PARIS-SACLAY,2
INSIGNARE ASSESSORIA EDUCACIONAL,2
INSTITUTO FEDERAL DO RIO GRANDE DO SUL,2
INSTITUTO FEDERAL DO PARANA - CAMPUS ASSIS CHATEAUBRIAND,2
SECRETARIA DE ESTADO E EDUCACAO DO DISTRITO FEDERAL,2
AGENCIA DE DEFESA SANITARIA AGROSILVOPASTORIL DO ESTADO DE RONDONIA,2
PREFEITURA DE PRAIA GRANDE,2
PAN AMERICAN HEALTH ORGANIZATION,2
SECRETARIA DA AGRICULTURA PECUARIA E DESENVOLVIMENTO RURAL,2
SECRETARIA DE ESTADO DA ADMINISTRACAO PRISIONAL E SOCIOEDUCATIVA,2
INSTITUTO SENAI DE INOVACAO EM SISTEMAS VIRTUAIS DE PRODUCAO,2
ENVEX ENGENHARIA E CONSULTORIA,2
PETROBRAS S.A.,2
EMPRESA PUBLICA DE TRANSPORTE E CIRCULACAO,2
UNIVERSIDAD DE LOS LAGOS,2
HOSPITAL UNIVERSITARIO PROFESSOR EDGAR SANTOS,2
FARMANGUINHOS/FIOCRUZ,2
FACULDADES JOAO PAULO II,2
HOSPITAL DE CLINICAS UNIVERSIDADE FEDERAL DO PARANA,2
UNIVERSITA DEGLI STUDI DI PERUGIA,2
UNIVERSIDAD EXTERNADO DE COLOMBIA,2
ESCOLA POLITECNICA,2
INSTITUTO DE ARTES,2
PREFEITURA MUNICIPAL DE SAO BENTO DO SUL,2
AUTARQUIA EDUCACIONAL DE SERRA TALHADA,2
ESCOLA SUPERIOR DE TECNOLOGIA,2
UNIVERSIDADE PORTUCALENSE INFANTE D. HENRIQUE,2
INSTITUT POLYTECHNIQUE DE GRENOBLE,2
LABORATORIO DE IMUNOPATOLOGIA KEIZO ASAMI,2
TUFTS UNIVERSITY,2
PREFEITURA MUNICIPAL DE PEDREGULHO,2
ASSOCIACAO R3 ANIMAL,2
AALBORG UNIVERSITY,2
CORPO DE BOMBEIROS MILITAR DO MARANHAO,2
DOW BRASIL,2
BIODIVERSITA TECNOLOGIA MICROBIANA,2
FUNDACAO OSWALDO CRUZ - CENTRO DE PESQUISAS RENE RACHOU,2
TRIBUNAL REGIONAL DO TRABALHO DA 23 REGIAO,2
SECRETARIA MUNICIPAL DE SAUDE DE BELO HORIZONTE,2
MUSEU DE HISTORIA NATURAL CAPAO DA IMBUIA,2
UNIVERSIDAD TECNOLOGICA,2
SOCIEDADE BENEFICENTE DE SENHORAS HOSPITAL SIRIO-LIBANES,2
ESCOLA ALEMA CORCOVADO,2
ANVISA,2
INSTITUTO IVOTI,2
FACULDADE SAO MIGUEL,2
EAST CAROLINA UNIVERSITY,2
NAO SE APLICA,2
UNIVERSIDADE PAULISTA JULIO DE MESQUITA FILHO,2
NATCROM SOLUCOES SUSTENTAVEIS LTDA.,2
FACULDADE DE ODONTOLOGIA DE RIBEIRAO PRETO (FORP-USP),2
UNIVERSITE DE TOULON,2
SUPERINTENDENCIA DE POLICIA TECNICO-CIENTIFICA,2
FRAS-LE INDUSTRIA DE MATERIAIS DE FRICCAO,2
FUNDACAO INSTITUTO DE PESQUISAS ECONOMICAS,2
FACULDADE DE CIENCIAS MEDICAS DE CAMPINA GRANDE-PB,2
PREFEITURA MUNICIPAL DE TIMBO,2
OBSERVATORIO DA INDUSTRIA,2
UNIVERSIDADE FEDERAL DE JUIZ DE FORA CAMPUS GOVERNADOR VALADARES,2
RIVITTI E DIAS SOCIEDADE DE ADVOGADOS,2
SOLUBIO TECNOLOGIAS AGRICOLAS,2
INSTITUTO SUL PARANAENSE DE ONCOLOGIA,2
ESCOLA POLITECNICA USP,2
CT VACINAS,2
HOSPITAL SAO LUCAS,2
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL,2
"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS",2
PREFEITURA MUNICIPAL DE SAQUAREMA,2
FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,2
INFRAERO,2
FACULDADE CATOLICA DOM ORIONE,2
UNIVERSITE SORBONNE PARIS NORD,2
FACULDADE DE ARQUITETURA E URBANISMO DA USP,2
INSTITUTO PRO-PAMPA,2
FACULDADE DE DIREITO,2
UNIVERSITAT AUGSBURG,2
BIOZEUS BIOPHARMACEUTICAL S.A.,2
ARCELORMITTAL BRASIL - MATRIZ,2
FACULDADE CECAPE,2
NUCLEO DE CIRURGIA DE CABECA E PESCOCO DE SANTOS,2
IRMANDADE SANTA CASA DE MISERICORDIA DE MARILIA,2
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SP,2
FACULDADE SENAI SAO PAULO - CAMPUS ANCHIETA - VILA MARIANA,2
SECRETARIA MUNICIPAL DE EDUCACAO DE SOROCABA,2
ANDRADE MAIA ADVOGADOS,2
UNIVERSITY OF ST ANDREWS,2
UNIVERSIDADE FEDERAL DE GOIAS - REGIONAL JATAI,2
HOSPITAL DAS CLINICAS DE VITORIA,2
ASSOCIACAO BENEFICENTE DA INDUSTRIA CARBONIFERA DE SANTA CATARINA,2
CENTRO DE ENERGIA NUCLEAR NA AGRICULTURA - USP,2
MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA,2
YARA BRASIL FERTILIZANTES,2
POLICIA CIVIL DO ESTADO DO PARANA,2
INSTITUTO DE MEIO AMBIENTE DE MATO GROSSO DO SUL,2
SECRETARIA ESTADUAL DE SAUDE DO ESTADO DA BAHIA,2
SUBSECRETARIA DE FORMACAO CONTINUADA DOS PROFISSIONAIS DA EDUCACAO,2
INSTITUTO FEDERAL DO PARANA - CAMPUS FOZ DO IGUACU,2
INPRENHA BIOTECNOLOGIA E DESENVOLVIMENTO AVANCADO,2
UNIVERSIDADE FEDERAL DO AMAZONAS - UFAM,2
UNIVERSIDADE FEDERAL DE SAO CARLOS E ICMC DA UNIVERSIDADE DE SAO PAULO,2
CLINICA E PESQUISA EM ENDOCRINOLOGIA DE MARINGA,2
TECHNISCHE UNIVERSITAT CHEMNITZ,2
FUNDACAO VISCONDE DE CAIRU,2
PREFEITURA MUNCIPAL DE PIRACICABA,2
HOSPITAL UNIVERSITARIO GAFFREE GUINLE,2
UNIVERSIDADE IGUACU CAMPUS V ITAPERUNA,2
FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SAO JOSE DO RIO PARDO,2
SECRETARIA DO PATRIMONIO DA UNIAO,2
ESCOLA NORMAL SUPERIOR,2
POLICLINICA SAGRADA FAMILIA,2
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,2
ASSOCIACAO KEPPE E PACHECO,2
JCO BIOPRODUTOS,2
FUNDACAO DE ENSINO E PESQUISA DO SUL DE MINAS,2
MAX-PLANCK-INSTITUT FUR POLYMERFORSCHUNG,2
UNIVERSIDADE DE PERNAMBUO,2
ESCOLA DE COMUNICACOES E ARTES - UNIVERSIDADE DE SAO PAULO,2
CRISTALIA PRODUTOS QUIMICOS E FARMACEUTICOS,2
CENTRO UNIVERSITARIO PROCESSUS - UNIPROCESSUS,2
ALBANY MEDICAL COLLEGE,2
FACULDADE DE TECNOLOGIA DE SINOP,2
CENTRO OLIMPICO DE TREINAMENTO E PESQUISA,2
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,2
NATIONAL UNIVERSITY OF IRELAND MAYNOOTH,2
FIOCRUZ AMAZONIA - INSTITUTO LEONIDAS E MARIA DEANE,2
JUCHEM ADVOCACIA,2
FACULDADE SANTO ANTONIO,2
UNIVERSITE CLAUDE BERNARD - LYON 1,2
FACULDADE PALOTINA,2
FACULDADE DE ODONTOLOGIA DE RIBEIRAO PRETO - USP (SP),2
UNIVERSITY OF EAST ANGLIA,2
PECPLAN ABS IMPORTACAO E EXPORTACAO,2
AGENCIA DE REGULACAO E CONTROLE DE SERVICOS PUBLICOS DO ESTADO DO PA,2
HOSPITAL DE DOENCAS TROPICAIS/EBSERH,2
ENDERECO,2
FACULDADE CANCAO NOVA,2
FUNDACAO INSTITUTO DE TERRAS DO ESTADO DE SAO PAULO,2
NEW JERSEY INSTITUTE OF TECHNOLOGY,2
CENTRO PAULISTA DE NEUROPSICOLOGIA,2
POLICIA MILITAR DO ESTADO DO PARANA,2
ESCOLA DE COMUNICACAO DA UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,2
UNIVERSIDAD DE MALAGA,2
INSTITUTO AGRONOMICO,2
FEDERACAO DAS INDUSTRIAS DO ESTADO DE MINAS GERAIS,2
BRASIL SALOMAO E MATTHES ADVOCACIA,2
ESCOLA DE ENFERMAGEM DE RIBEIRAO PRETO UNIVERSIDADE DE SAO PAULO,2
UNB,2
AGENCIA REGULADORA DE SERVICOS PUBLICOS DELEGADOS DE TRANSPORTE DE SP,2
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO,2
CENTRO UNIVERSITARIO FAESA,2
INSTITUTO BOGGIO,2
SECRETARIA MUNICIPAL DE EDUCACAO DE MARILIA,2
FACULDADE DE DIREITO DA UFPR,2
CONTECH PRODUTOS BIODEGRADAVEIS,2
PREFEITURA DO MUNICIPIO DE BARRETOS,2
TRIBUNAL DE JUSTICA DO ESTADO DO RS,2
HOSPITAL DE CARIDADE DE ERECHIM,2
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA, CAMPUS GOVERNADOR VALADARES",2
COLEGIO TECNICO DA UFMG,2
MATERNIDADE ESCOLA JANUARIO CICCO,2
PREFEITURA MUNICIPAL DE BLUMENAU,2
FACULDADE DE CIENCIAS HUMANAS DE PEDRO LEOPOLDO,2
CLINICA AMO,2
